# NPB_GAMES_DATA
# UPDATED: 2025-09-04T17:48:48.535093
# FORMAT: DATE|HOME_ID|HOME_ABBR|HOME_NAME|AWAY_ID|AWAY_ABBR|AWAY_NAME|HOME_SCORE|AWAY_SCORE|LEAGUE|STATUS|IS_DRAW
2025-05-13|5|CHU|中日ドラゴンズ|6|YAK|東京ヤクルトスワローズ|5|4|Central|completed|0
2025-05-13|4|HIR|広島東洋カープ|1|YOG|読売ジャイアンツ|5|4|Central|completed|0
2025-05-13|12|NIP|北海道日本ハムファイターズ|10|ORI|オリックスバファローズ|7|0|Pacific|completed|0
2025-05-13|9|RAK|東北楽天ゴールデンイーグルス|8|LOT|千葉ロッテマリーンズ|4|3|Pacific|completed|0
2025-05-13|7|SOF|福岡ソフトバンクホークス|11|SEI|埼玉西武ライオンズ|6|1|Pacific|completed|0
2025-05-14|5|CHU|中日ドラゴンズ|6|YAK|東京ヤクルトスワローズ|2|0|Central|completed|0
2025-05-14|4|HIR|広島東洋カープ|1|YOG|読売ジャイアンツ|3|0|Central|completed|0
2025-05-14|12|NIP|北海道日本ハムファイターズ|10|ORI|オリックスバファローズ|5|9|Pacific|completed|0
2025-05-14|9|RAK|東北楽天ゴールデンイーグルス|8|LOT|千葉ロッテマリーンズ|4|0|Pacific|completed|0
2025-05-14|7|SOF|福岡ソフトバンクホークス|11|SEI|埼玉西武ライオンズ|1|3|Pacific|completed|0
2025-05-15|3|YDB|横浜DeNAベイスターズ|2|HAN|阪神タイガース|1|0|Central|completed|0
2025-05-15|4|HIR|広島東洋カープ|1|YOG|読売ジャイアンツ|5|1|Central|completed|0
2025-05-15|12|NIP|北海道日本ハムファイターズ|10|ORI|オリックスバファローズ|7|0|Pacific|completed|0
2025-05-15|9|RAK|東北楽天ゴールデンイーグルス|8|LOT|千葉ロッテマリーンズ|2|5|Pacific|completed|0
2025-05-15|7|SOF|福岡ソフトバンクホークス|11|SEI|埼玉西武ライオンズ|5|0|Pacific|completed|0
2025-05-16|1|YOG|読売ジャイアンツ|5|CHU|中日ドラゴンズ|4|2|Central|completed|0
2025-05-16|6|YAK|東京ヤクルトスワローズ|3|YDB|横浜DeNAベイスターズ|6|8|Central|completed|0
2025-05-16|2|HAN|阪神タイガース|4|HIR|広島東洋カープ|2|4|Central|completed|0
2025-05-16|11|SEI|埼玉西武ライオンズ|10|ORI|オリックスバファローズ|3|0|Pacific|completed|0
2025-05-16|8|LOT|千葉ロッテマリーンズ|12|NIP|北海道日本ハムファイターズ|0|8|Pacific|completed|0
2025-05-16|7|SOF|福岡ソフトバンクホークス|9|RAK|東北楽天ゴールデンイーグルス|1|5|Pacific|completed|0
2025-05-17|1|YOG|読売ジャイアンツ|5|CHU|中日ドラゴンズ|1|0|Central|completed|0
2025-05-17|6|YAK|東京ヤクルトスワローズ|3|YDB|横浜DeNAベイスターズ|7|6|Central|completed|0
2025-05-17|2|HAN|阪神タイガース|4|HIR|広島東洋カープ|5|2|Central|completed|0
2025-05-17|11|SEI|埼玉西武ライオンズ|10|ORI|オリックスバファローズ|3|2|Pacific|completed|0
2025-05-17|7|SOF|福岡ソフトバンクホークス|9|RAK|東北楽天ゴールデンイーグルス|2|1|Pacific|completed|0
2025-05-18|1|YOG|読売ジャイアンツ|5|CHU|中日ドラゴンズ|4|7|Central|completed|0
2025-05-18|6|YAK|東京ヤクルトスワローズ|3|YDB|横浜DeNAベイスターズ|2|10|Central|completed|0
